1,Hotel Tres Ollas,125.5,Lima,N
2,Hotel Tres Torres,125.5,Lima,N
3,Hotel Dos Ollas,125.5,Lima,N
4,Hotel Cinco Ollas,125.5,Lima,Hotel Dos Ollas
5,Hotel Seis Ollas,125.5,Lima,N
6,Hotel Siete Ollas,125.5,Lima,N
7,Hotel Ocho Ollas,125.5,Lima,N
8,Hotel Nueve Ollas,124.5,Lima,N
9,Hotel Diez Ollas,125.5,Lima,N
10,Hotel Quince Cuyes,125.5,Cuzco,N
11,Hotel Once Ollas,125.5,Lima,N
12,Hotel Doce Ollas,125.5,Lima,N
13,Hotel Trece Ollas,125.5,Lima,Hotel Diez Ollas
14,Hotel Catorce Ollas,125.5,Lima,N
15,Hotel Quince Ollas,125.5,Lima,N
16,Hotel Dieciseis Ollas,125.5,Lima,N
17,Hotel Diecisiete Ollas,125.5,Lima,N
18,Hotel Dieciocho Ollas,125.5,Lima,N
19,Hotel Diecinueve Ollas,125.5,Lima,N
20,Hotel Veinte Ollas,125.5,Lima,N
21,Hotel Veintiuno Ollas,125.5,Lima,N
22,Hotel Veintidos Ollas,125.5,Lima,N
23,Hotel Veintitres Ollas,125.5,Lima,N
24,Hotel Veinticuatro Ollas,125.5,Lima,N
25,Hotel Veinticinco Ollas,125.5,Lima,N
26,Hotel Veintiseis Ollas,125.5,Lima,N
27,Hotel Veintisiete Ollas,125.5,Lima,N
28,Hotel Veintiocho Ollas,125.5,Lima,N
29,Hotel Veintinueve Ollas,125.5,Lima,N
30,Hotel Treinta Ollas,125.5,Lima,N
31,Hotel Treintayuno Ollas,125.5,Lima,N
32,Hotel Treintaydos Ollas,125.5,Lima,N
33,Hotel Treintatres Ollas,125.5,Lima,N
34,Hotel Treintaycuatro Ollas,125.5,Lima,N
35,Hotel Un Tenedor,125.5,Huancayo,N
36,Hotel Treintaycinco Ollas,125.5,Lima,N
37,Hotel Treintayseis Ollas,125.5,Lima,N
38,Hotel Treintaysiete Ollas,125.5,Lima,N
39,Hotel Treintayocho Ollas,123.5,Lima,N
40,Hotel Treintaynueve Ollas,125.5,Lima,N
41,Hotel Cuarenta Ollas,125.5,Lima,N
42,Hotel Cuarentayuno Ollas,125.5,Lima,N
43,Hotel Cuarentaydos Ollas,125.5,Lima,N
44,Hotel Cuarentaytres Ollas,125.5,Lima,N
45,Hotel Cuarentaycuatro Ollas,125.5,Lima,N
